query,condition,knn_score,time,visited_objects
296166,500,0.1,11.514017581939697,1145
296166,1000,0.1,11.514063358306885,1145
296166,3000,0.13333333333333333,11.533065795898438,3437
296166,5000,0.13333333333333333,11.55225157737732,5303
296166,10000,0.2,11.600219011306763,10261
296166,50000,0.43333333333333335,11.857447862625122,50517
296166,100000,0.5666666666666667,12.196388006210327,100784
296166,200000,0.7333333333333333,12.790727853775024,201568
296166,300000,0.8666666666666667,13.394701957702637,300614
296166,500000,0.9333333333333333,14.639689683914185,500910
551155,500,0.0,6.052876710891724,1216
551155,1000,0.0,6.052919626235962,1216
551155,3000,0.0,6.062018871307373,3133
551155,5000,0.1,6.079169750213623,6070
551155,10000,0.13333333333333333,6.114131927490234,11476
551155,50000,0.26666666666666666,6.417598247528076,50765
551155,100000,0.43333333333333335,6.759149074554443,100402
551155,200000,0.7,7.404525995254517,200545
551155,300000,0.8,8.082513093948364,301186
551155,500000,1.0,9.38170862197876,500561
557192,500,0.26666666666666666,5.967233180999756,1162
557192,1000,0.26666666666666666,5.967284440994263,1162
557192,3000,0.3333333333333333,6.097438335418701,3836
557192,5000,0.3333333333333333,6.107430458068848,5531
557192,10000,0.3333333333333333,6.162883758544922,11168
557192,50000,0.5,6.41579794883728,50600
557192,100000,0.5666666666666667,6.695207834243774,100994
557192,200000,0.8333333333333334,7.297704696655273,200358
557192,300000,0.9,7.975435733795166,300217
557192,500000,1.0,9.318209648132324,500719
565691,500,0.06666666666666667,6.1134984493255615,1641
565691,1000,0.06666666666666667,6.113539695739746,1641
565691,3000,0.26666666666666666,6.130620241165161,3308
565691,5000,0.26666666666666666,6.148292541503906,5772
565691,10000,0.3,6.18621039390564,11120
565691,50000,0.6,6.458163261413574,50380
565691,100000,0.8,6.826560735702515,100891
565691,200000,0.9,7.491155624389648,201556
565691,300000,0.9333333333333333,8.094815254211426,300388
565691,500000,1.0,9.376538038253784,501530
597668,500,0.1,6.040154218673706,1125
597668,1000,0.1,6.040199279785156,1125
597668,3000,0.16666666666666666,6.0584876537323,4284
597668,5000,0.16666666666666666,6.067491054534912,5504
597668,10000,0.23333333333333334,6.110389709472656,11334
597668,50000,0.5666666666666667,6.346116542816162,50515
597668,100000,0.7,6.674534797668457,100925
597668,200000,0.8666666666666667,7.330033302307129,200056
597668,300000,0.9666666666666667,8.032608985900879,301025
597668,500000,0.9666666666666667,9.41495418548584,500904
887357,500,0.0,6.085163116455078,1301
887357,1000,0.0,6.085206508636475,1301
887357,3000,0.0,6.094162702560425,3218
887357,5000,0.0,6.102839946746826,5008
887357,10000,0.0,6.146393060684204,10567
887357,50000,0.3333333333333333,6.418011426925659,50950
887357,100000,0.36666666666666664,6.745410442352295,100101
887357,200000,0.6,7.501319646835327,200083
887357,300000,0.6333333333333333,8.133652687072754,300811
887357,500000,0.8,9.387236595153809,500270
930954,500,0.9333333333333333,0.45731043815612793,1492
930954,1000,0.9333333333333333,0.45734643936157227,1492
930954,3000,0.9333333333333333,6.381207466125488,3187
930954,5000,0.9333333333333333,6.398071527481079,5472
930954,10000,0.9333333333333333,6.422592401504517,10582
930954,50000,0.9333333333333333,6.693922281265259,51088
930954,100000,0.9666666666666667,7.0012383460998535,100745
930954,200000,1.0,7.585121393203735,200177
930954,300000,1.0,8.226389169692993,301499
930954,500000,1.0,9.478413581848145,500401
1158847,500,0.0,6.045364618301392,1220
1158847,1000,0.0,6.045408010482788,1220
1158847,3000,0.0,6.063409090042114,3021
1158847,5000,0.03333333333333333,6.0809431076049805,5505
1158847,10000,0.03333333333333333,6.113733291625977,11396
1158847,50000,0.5333333333333333,6.325318098068237,51515
1158847,100000,0.6666666666666666,6.6646928787231445,100627
1158847,200000,0.7,7.301551342010498,200935
1158847,300000,0.7,7.931431770324707,300100
1158847,500000,0.9,9.311569690704346,500371
1172868,500,0.0,6.04754900932312,1192
1172868,1000,0.0,6.047590970993042,1192
1172868,3000,0.0,6.064965486526489,4082
1172868,5000,0.03333333333333333,6.073412656784058,5667
1172868,10000,0.1,6.107489824295044,11776
1172868,50000,0.4666666666666667,6.321961402893066,50245
1172868,100000,0.5333333333333333,6.665767192840576,101134
1172868,200000,0.6333333333333333,7.317387104034424,200274
1172868,300000,0.9,8.064017295837402,300381
1172868,500000,1.0,9.506155967712402,500146
1265894,500,0.13333333333333333,6.100442409515381,1790
1265894,1000,0.13333333333333333,6.100482225418091,1790
1265894,3000,0.13333333333333333,6.118328094482422,3900
1265894,5000,0.13333333333333333,6.126614332199097,5131
1265894,10000,0.13333333333333333,6.1604156494140625,10051
1265894,50000,0.5,6.407589912414551,50291
1265894,100000,0.8666666666666667,6.710281133651733,100074
1265894,200000,0.9,7.356752395629883,201843
1265894,300000,0.9333333333333333,7.9847731590271,300145
1265894,500000,1.0,9.337260961532593,501650
1323044,500,0.0,6.130456447601318,1192
1323044,1000,0.0,6.130500555038452,1192
1323044,3000,0.0,6.13986349105835,3109
1323044,5000,0.03333333333333333,6.157994985580444,5847
1323044,10000,0.06666666666666667,6.1839869022369385,10657
1323044,50000,0.8,6.455372095108032,50579
1323044,100000,0.9666666666666667,6.746723890304565,100123
1323044,200000,1.0,7.388677358627319,201666
1323044,300000,1.0,8.045606136322021,300477
1323044,500000,1.0,9.290180206298828,500463
1379373,500,0.0,6.054579257965088,1192
1379373,1000,0.0,6.054620027542114,1192
1379373,3000,0.0,6.073039531707764,4147
1379373,5000,0.03333333333333333,6.082375764846802,5597
1379373,10000,0.03333333333333333,6.1178059577941895,11086
1379373,50000,0.2,6.378827095031738,50649
1379373,100000,0.4,6.707804441452026,100213
1379373,200000,0.6666666666666666,7.390807867050171,201416
1379373,300000,0.9333333333333333,8.02139687538147,300886
1379373,500000,0.9666666666666667,9.328567504882812,500125
1517787,500,0.06666666666666667,6.027669668197632,1770
1517787,1000,0.06666666666666667,6.027710676193237,1770
1517787,3000,0.06666666666666667,6.037158250808716,3327
1517787,5000,0.06666666666666667,6.054843187332153,5807
1517787,10000,0.13333333333333333,6.0804197788238525,10888
1517787,50000,0.36666666666666664,6.33394980430603,50432
1517787,100000,0.4666666666666667,6.68710994720459,100476
1517787,200000,0.5666666666666667,7.296625375747681,201882
1517787,300000,0.7,7.969279766082764,300297
1517787,500000,1.0,9.343637228012085,500647
1535290,500,0.16666666666666666,6.028609037399292,1732
1535290,1000,0.16666666666666666,6.028654336929321,1732
1535290,3000,0.16666666666666666,6.03822660446167,3544
1535290,5000,0.2,6.048063516616821,5356
1535290,10000,0.3,6.0860960483551025,10371
1535290,50000,0.6333333333333333,6.368348836898804,51598
1535290,100000,0.7666666666666667,6.685518980026245,100249
1535290,200000,1.0,7.3791422843933105,200490
1535290,300000,1.0,8.072285890579224,301135
1535290,500000,1.0,9.431005239486694,500983
1581510,500,0.0,6.088288068771362,1359
1581510,1000,0.0,6.08832859992981,1359
1581510,3000,0.0,6.106209993362427,3880
1581510,5000,0.0,6.1179282665252686,5140
1581510,10000,0.2,6.151289463043213,11548
1581510,50000,0.3,6.407166957855225,50238
1581510,100000,0.4,6.755150556564331,100796
1581510,200000,0.7666666666666667,7.421821355819702,201320
1581510,300000,0.8333333333333334,8.160478115081787,300137
1581510,500000,1.0,9.458095073699951,500716
1595410,500,0.06666666666666667,6.012768030166626,1791
1595410,1000,0.06666666666666667,6.012807607650757,1791
1595410,3000,0.06666666666666667,6.029571771621704,4136
1595410,5000,0.1,6.049465656280518,6096
1595410,10000,0.16666666666666666,6.07658052444458,11490
1595410,50000,0.5333333333333333,6.302969932556152,50555
1595410,100000,0.7333333333333333,6.617374897003174,100120
1595410,200000,0.9333333333333333,7.378778696060181,201082
1595410,300000,0.9333333333333333,8.066648244857788,301101
1595410,500000,1.0,9.383471965789795,500885
1840753,500,0.0,6.100783586502075,1838
1840753,1000,0.0,6.100873231887817,1838
1840753,3000,0.0,6.109625816345215,3030
1840753,5000,0.03333333333333333,6.1270270347595215,6001
1840753,10000,0.03333333333333333,6.161668062210083,10970
1840753,50000,0.26666666666666666,6.382738351821899,50518
1840753,100000,0.36666666666666664,6.721026659011841,100996
1840753,200000,0.6333333333333333,7.364975690841675,201559
1840753,300000,0.7,7.926290988922119,300016
1840753,500000,0.9666666666666667,9.231647729873657,500409
2004218,500,0.23333333333333334,1.0819880962371826,1912
2004218,1000,0.23333333333333334,1.0820245742797852,1912
2004218,3000,0.23333333333333334,6.161736249923706,4319
2004218,5000,0.3,6.171167612075806,6315
2004218,10000,0.3,6.18833065032959,10022
2004218,50000,0.7333333333333333,6.497128248214722,50724
2004218,100000,0.8333333333333334,6.865378379821777,101120
2004218,200000,1.0,7.588858604431152,200398
2004218,300000,1.0,8.38941240310669,301532
2004218,500000,1.0,9.848244428634644,500715
2143640,500,0.03333333333333333,6.056995153427124,1301
2143640,1000,0.03333333333333333,6.057037591934204,1301
2143640,3000,0.13333333333333333,6.075227499008179,4075
2143640,5000,0.13333333333333333,6.083799839019775,5474
2143640,10000,0.13333333333333333,6.117308139801025,10260
2143640,50000,0.6333333333333333,6.372851848602295,50340
2143640,100000,0.8666666666666667,6.666962385177612,100808
2143640,200000,0.9,7.381154775619507,200446
2143640,300000,1.0,8.228765487670898,300407
2143640,500000,1.0,9.544585227966309,500656
2179762,500,0.23333333333333334,1.9330799579620361,1714
2179762,1000,0.23333333333333334,1.9331169128417969,1714
2179762,3000,0.23333333333333334,5.810609579086304,3626
2179762,5000,0.23333333333333334,6.086894750595093,5128
2179762,10000,0.26666666666666666,6.112314939498901,10825
2179762,50000,0.5666666666666667,6.3923609256744385,50556
2179762,100000,0.8333333333333334,6.755189657211304,100964
2179762,200000,1.0,7.492503643035889,201177
2179762,300000,1.0,8.24551010131836,300159
2179762,500000,1.0,9.684020757675171,500515
2213470,500,0.0,6.096416711807251,1917
2213470,1000,0.0,6.0964601039886475,1917
2213470,3000,0.4,6.105688571929932,3796
2213470,5000,0.4,6.122936964035034,5587
