query,condition,knn_score,time,visited_objects
296166,500,0.06666666666666667,0.060434818267822266,923
296166,1000,0.16666666666666666,0.0877838134765625,2065
296166,3000,0.2,0.08798789978027344,4066
296166,5000,0.2,0.0880727767944336,5297
296166,10000,0.23333333333333334,0.08835577964782715,10515
296166,50000,0.4666666666666667,0.14935827255249023,50771
296166,100000,0.5333333333333333,0.2068636417388916,101196
296166,200000,0.6333333333333333,0.2942209243774414,200056
296166,300000,0.8333333333333334,0.3617241382598877,300685
296166,500000,0.9666666666666667,0.4844999313354492,501063
551155,500,0.06666666666666667,0.06694531440734863,1492
551155,1000,0.06666666666666667,0.06696796417236328,1492
551155,3000,0.1,0.09344267845153809,3220
551155,5000,0.23333333333333334,0.09361124038696289,5140
551155,10000,0.23333333333333334,0.12057280540466309,10437
551155,50000,0.4,0.1797943115234375,50640
551155,100000,0.6333333333333333,0.23514151573181152,101141
551155,200000,0.8333333333333334,0.32349467277526855,201031
551155,300000,0.9,0.3545255661010742,300593
551155,500000,1.0,0.4537973403930664,500646
557192,500,0.26666666666666666,0.06000208854675293,1164
557192,1000,0.26666666666666666,0.06002473831176758,1164
557192,3000,0.3,0.0864560604095459,3889
557192,5000,0.3,0.08655023574829102,5661
557192,10000,0.4666666666666667,0.11259698867797852,10791
557192,50000,0.6333333333333333,0.17039942741394043,50068
557192,100000,0.7666666666666667,0.19892287254333496,100380
557192,200000,0.9333333333333333,0.2859790325164795,200006
557192,300000,0.9666666666666667,0.31815433502197266,301319
557192,500000,1.0,0.41568589210510254,500660
565691,500,0.03333333333333333,0.06160616874694824,1164
565691,1000,0.03333333333333333,0.06162667274475098,1164
565691,3000,0.2,0.08809208869934082,3832
565691,5000,0.2,0.08818793296813965,5766
565691,10000,0.3,0.1146843433380127,11453
565691,50000,0.5666666666666667,0.17229652404785156,50091
565691,100000,0.8666666666666667,0.25583529472351074,100215
565691,200000,0.9333333333333333,0.33963847160339355,200821
565691,300000,0.9666666666666667,0.4028797149658203,301915
565691,500000,0.9666666666666667,0.44283008575439453,501197
597668,500,0.03333333333333333,0.06654691696166992,552
597668,1000,0.03333333333333333,0.06664896011352539,2044
597668,3000,0.2,0.09240984916687012,4028
597668,5000,0.23333333333333334,0.0925602912902832,5966
597668,10000,0.36666666666666664,0.12297272682189941,11346
597668,50000,0.8,0.15158367156982422,51371
597668,100000,0.9,0.20702052116394043,100243
597668,200000,1.0,0.2949647903442383,200315
597668,300000,1.0,0.3280799388885498,301280
597668,500000,1.0,0.4464244842529297,501876
887357,500,0.06666666666666667,0.06126809120178223,923
887357,1000,0.06666666666666667,0.09200716018676758,2842
887357,3000,0.06666666666666667,0.09210658073425293,4421
887357,5000,0.06666666666666667,0.09219241142272949,6491
887357,10000,0.1,0.0923452377319336,10194
887357,50000,0.5,0.17217326164245605,51000
887357,100000,0.6666666666666666,0.22771263122558594,101355
887357,200000,0.8333333333333334,0.3403942584991455,200908
887357,300000,0.8333333333333334,0.399608850479126,301364
887357,500000,1.0,0.49073338508605957,500195
930954,500,0.9333333333333333,0.0651400089263916,1485
930954,1000,0.9333333333333333,0.06516098976135254,1485
930954,3000,0.9333333333333333,0.09111857414245605,3109
930954,5000,0.9333333333333333,0.09140944480895996,6919
930954,10000,0.9666666666666667,0.09157323837280273,10155
930954,50000,1.0,0.1505894660949707,50312
930954,100000,1.0,0.20600533485412598,100063
930954,200000,1.0,0.23792123794555664,201351
930954,300000,1.0,0.29889464378356934,300085
930954,500000,1.0,0.3679039478302002,500866
1158847,500,0.03333333333333333,0.06063246726989746,610
1158847,1000,0.06666666666666667,0.060730695724487305,2375
1158847,3000,0.06666666666666667,0.06081390380859375,3392
1158847,5000,0.16666666666666666,0.09080767631530762,5398
1158847,10000,0.26666666666666666,0.0910484790802002,10778
1158847,50000,0.4666666666666667,0.14398455619812012,50220
1158847,100000,0.6,0.22880935668945312,100535
1158847,200000,0.8,0.3400084972381592,200769
1158847,300000,0.8666666666666667,0.3730494976043701,300179
1158847,500000,0.9666666666666667,0.44537949562072754,501165
1172868,500,0.3,0.0619206428527832,1916
1172868,1000,0.3,0.061940670013427734,1916
1172868,3000,0.3,0.062029123306274414,3093
1172868,5000,0.36666666666666664,0.062113046646118164,5085
1172868,10000,0.43333333333333335,0.08800792694091797,10423
1172868,50000,0.8666666666666667,0.11627888679504395,51469
1172868,100000,0.9333333333333333,0.17089438438415527,100570
1172868,200000,1.0,0.2337646484375,201085
1172868,300000,1.0,0.26816892623901367,300254
1172868,500000,1.0,0.36554384231567383,500007
1265894,500,0.03333333333333333,0.06525778770446777,1098
1265894,1000,0.03333333333333333,0.0652775764465332,1098
1265894,3000,0.3,0.09191465377807617,3861
1265894,5000,0.3333333333333333,0.09200930595397949,5275
1265894,10000,0.6666666666666666,0.11869096755981445,11913
1265894,50000,0.9,0.14640140533447266,50717
1265894,100000,0.9333333333333333,0.20125555992126465,100104
1265894,200000,1.0,0.2607865333557129,200223
1265894,300000,1.0,0.34969186782836914,301280
1265894,500000,1.0,0.41542744636535645,500522
1323044,500,0.3333333333333333,0.059128522872924805,1062
1323044,1000,0.3333333333333333,0.05914783477783203,1062
1323044,3000,0.5666666666666667,0.059356689453125,4517
1323044,5000,0.6,0.059438228607177734,5579
1323044,10000,0.6,0.08539080619812012,10380
1323044,50000,0.8666666666666667,0.11303901672363281,50173
1323044,100000,0.9666666666666667,0.14595317840576172,101439
1323044,200000,1.0,0.20470952987670898,200478
1323044,300000,1.0,0.28743624687194824,300053
1323044,500000,1.0,0.3829312324523926,501315
1379373,500,0.16666666666666666,0.09116554260253906,2099
1379373,1000,0.16666666666666666,0.0911872386932373,2099
1379373,3000,0.2,0.0912773609161377,3361
1379373,5000,0.2,0.09143495559692383,6530
1379373,10000,0.36666666666666664,0.09171032905578613,11295
1379373,50000,0.7,0.17162680625915527,50528
1379373,100000,0.8,0.20032906532287598,101258
1379373,200000,0.9333333333333333,0.25752758979797363,201775
1379373,300000,0.9666666666666667,0.34445858001708984,300776
1379373,500000,1.0,0.43828248977661133,500739
1517787,500,0.06666666666666667,0.06549215316772461,1221
1517787,1000,0.06666666666666667,0.06551289558410645,1221
1517787,3000,0.13333333333333333,0.09136247634887695,4692
1517787,5000,0.2,0.11746406555175781,6484
1517787,10000,0.2,0.1177055835723877,10270
1517787,50000,0.8333333333333334,0.14606308937072754,51034
1517787,100000,0.9,0.22598743438720703,100012
1517787,200000,1.0,0.25795483589172363,200668
1517787,300000,1.0,0.2911069393157959,300241
1517787,500000,1.0,0.3360269069671631,500372
1535290,500,0.03333333333333333,0.06505703926086426,639
1535290,1000,0.23333333333333334,0.06516337394714355,2414
1535290,3000,0.36666666666666664,0.09138965606689453,3731
1535290,5000,0.43333333333333335,0.0915670394897461,6773
1535290,10000,0.6,0.09178805351257324,10161
1535290,50000,0.9333333333333333,0.11949348449707031,50172
1535290,100000,0.9666666666666667,0.1770627498626709,100526
1535290,200000,1.0,0.2911243438720703,200136
