query,condition,knn_score,time,visited_objects
3136_3136-2240-702_2240_702,353,0.8,0.7197144031524658,8218
3136_3136-2240-702_2240_702,990,0.8,0.7197458744049072,8218
3136_3136-2240-702_2240_702,3032,0.8,0.7197580337524414,8218
3136_3136-2240-702_2240_702,1769,0.8,0.7197682857513428,8218
3136_3136-2240-702_2240_702,5053,0.8,0.7197787761688232,8218
3136_3136-2240-702_2240_702,10110,1.0,0.7271344661712646,10206
3136_3136-2240-702_2240_702,50557,1.0,0.7841589450836182,50936
3136_3136-2240-702_2240_702,101109,1.0,0.8203175067901611,101137
3136_3136-306-93_306_93,353,0.7333333333333333,0.025116682052612305,857
3136_3136-306-93_306_93,990,0.8,0.025279521942138672,1211
3136_3136-306-93_306_93,3032,0.9,0.04889559745788574,3076
3136_3136-306-93_306_93,1769,0.9,0.04894280433654785,3076
3136_3136-306-93_306_93,5053,0.9666666666666667,0.05668187141418457,5412
3136_3136-306-93_306_93,10110,0.9666666666666667,0.057600975036621094,13683
3136_3136-306-93_306_93,50557,0.9666666666666667,0.11532974243164062,50607
3136_3136-306-93_306_93,101109,0.9666666666666667,0.2053852081298828,101919
3136_3136-4716-62_4716_62,353,0.5333333333333333,0.020659446716308594,515
3136_3136-4716-62_4716_62,990,0.7,0.02080702781677246,2055
3136_3136-4716-62_4716_62,3032,0.9,0.029854536056518555,3087
3136_3136-4716-62_4716_62,1769,0.9,0.029894590377807617,3087
3136_3136-4716-62_4716_62,5053,0.9,0.030476093292236328,6228
3136_3136-4716-62_4716_62,10110,0.9,0.0378422737121582,10226
3136_3136-4716-62_4716_62,50557,1.0,0.0892796516418457,50866
3136_3136-4716-62_4716_62,101109,1.0,0.15291452407836914,101323
3136_3136-918-139_918_139,353,0.26666666666666666,0.022432565689086914,857
3136_3136-918-139_918_139,990,0.3,0.02263355255126953,992
3136_3136-918-139_918_139,3032,1.0,0.027799606323242188,3149
3136_3136-918-139_918_139,1769,1.0,0.027837038040161133,3149
3136_3136-918-139_918_139,5053,1.0,0.03275299072265625,5738
3136_3136-918-139_918_139,10110,1.0,0.03696131706237793,12042
3136_3136-918-139_918_139,50557,1.0,0.08548998832702637,50633
3136_3136-918-139_918_139,101109,1.0,0.1448228359222412,101120
3137_3137-72-93_72_93,353,0.3,0.018466949462890625,1699
3137_3137-72-93_72_93,990,0.3,0.018491744995117188,1699
3137_3137-72-93_72_93,3032,0.9666666666666667,0.023479700088500977,3066
3137_3137-72-93_72_93,1769,0.9666666666666667,0.023508071899414062,3066
3137_3137-72-93_72_93,5053,0.9666666666666667,0.02389073371887207,5070
3137_3137-72-93_72_93,10110,0.9666666666666667,0.03257322311401367,10706
3137_3137-72-93_72_93,50557,1.0,0.0970914363861084,50584
3137_3137-72-93_72_93,101109,1.0,0.16411614418029785,101372
3138_3138-2511-468_2511_468,353,0.03333333333333333,0.01065969467163086,542
