query,condition,knn_score,time,visited_objects
3136_3136-2240-702_2240_702,353,0.0,0.063079833984375,422
3136_3136-2240-702_2240_702,990,1.0,0.06329107284545898,12969
3136_3136-2240-702_2240_702,3032,1.0,0.06331014633178711,12969
3136_3136-2240-702_2240_702,1769,1.0,0.063323974609375,12969
3136_3136-2240-702_2240_702,5053,1.0,0.06333684921264648,12969
3136_3136-2240-702_2240_702,10110,1.0,0.06334996223449707,12969
3136_3136-2240-702_2240_702,50557,1.0,0.23344159126281738,51209
3136_3136-2240-702_2240_702,101109,1.0,0.5888097286224365,101160
3136_3136-306-93_306_93,353,0.7333333333333333,0.04882955551147461,961
3136_3136-306-93_306_93,990,0.7666666666666667,0.048935651779174805,2464
3136_3136-306-93_306_93,3032,0.7666666666666667,0.07376575469970703,3316
3136_3136-306-93_306_93,1769,0.7666666666666667,0.07380080223083496,3316
3136_3136-306-93_306_93,5053,0.8666666666666667,0.07395720481872559,15863
3136_3136-306-93_306_93,10110,0.8666666666666667,0.07398128509521484,15863
3136_3136-306-93_306_93,50557,0.9666666666666667,0.21855473518371582,52625
3136_3136-306-93_306_93,101109,0.9666666666666667,0.41255927085876465,101228
3136_3136-4716-62_4716_62,353,0.4666666666666667,0.05338644981384277,384
3136_3136-4716-62_4716_62,990,0.6666666666666666,0.05352139472961426,5976
3136_3136-4716-62_4716_62,3032,0.6666666666666666,0.05353999137878418,5976
3136_3136-4716-62_4716_62,1769,0.6666666666666666,0.05355525016784668,5976
3136_3136-4716-62_4716_62,5053,0.6666666666666666,0.05356884002685547,5976
3136_3136-4716-62_4716_62,10110,0.8333333333333334,0.05378270149230957,11943
3136_3136-4716-62_4716_62,50557,1.0,0.2882566452026367,51024
3136_3136-4716-62_4716_62,101109,1.0,0.47540712356567383,106149
3136_3136-918-139_918_139,353,0.9,0.05029129981994629,1542
3136_3136-918-139_918_139,990,0.9,0.05031299591064453,1542
3136_3136-918-139_918_139,3032,1.0,0.05199146270751953,3620
3136_3136-918-139_918_139,1769,1.0,0.05201435089111328,3620
3136_3136-918-139_918_139,5053,1.0,0.08114171028137207,16908
3136_3136-918-139_918_139,10110,1.0,0.08124709129333496,16908
3136_3136-918-139_918_139,50557,1.0,0.15612053871154785,51100
3136_3136-918-139_918_139,101109,1.0,0.3510143756866455,102389
3137_3137-72-93_72_93,353,0.6333333333333333,0.04851889610290527,1158
3137_3137-72-93_72_93,990,0.6333333333333333,0.048538923263549805,1158
3137_3137-72-93_72_93,3032,0.7666666666666667,0.04871678352355957,3130
3137_3137-72-93_72_93,1769,0.7666666666666667,0.04873251914978027,3130
3137_3137-72-93_72_93,5053,0.9666666666666667,0.0713357925415039,5104
3137_3137-72-93_72_93,10110,1.0,0.09731554985046387,10948
3137_3137-72-93_72_93,50557,1.0,0.2898976802825928,51379
3137_3137-72-93_72_93,101109,1.0,0.537888765335083,101356
3138_3138-2511-468_2511_468,353,0.0,0.048258066177368164,422
3138_3138-2511-468_2511_468,990,0.3,0.048506736755371094,1149
3138_3138-2511-468_2511_468,3032,0.3333333333333333,0.04860544204711914,3402
3138_3138-2511-468_2511_468,1769,0.3333333333333333,0.04862165451049805,3402
3138_3138-2511-468_2511_468,5053,0.5666666666666667,0.07213807106018066,6623
3138_3138-2511-468_2511_468,10110,0.9,0.07288885116577148,10401
3138_3138-2511-468_2511_468,50557,1.0,0.18151378631591797,52264
3138_3138-2511-468_2511_468,101109,1.0,0.36695432662963867,102909
3138_3138-700-702_700_702,353,0.0,0.04595160484313965,422
3138_3138-700-702_700_702,990,0.43333333333333335,0.0461273193359375,1725
3138_3138-700-702_700_702,3032,0.8666666666666667,0.046228647232055664,14272
3138_3138-700-702_700_702,1769,0.8666666666666667,0.046243906021118164,14272
3138_3138-700-702_700_702,5053,0.8666666666666667,0.046256303787231445,14272
3138_3138-700-702_700_702,10110,0.8666666666666667,0.04626870155334473,14272
3138_3138-700-702_700_702,50557,1.0,0.1591813564300537,50896
3138_3138-700-702_700_702,101109,1.0,0.36272406578063965,102418
3139_3139-1512-93_1512_93,353,0.1,0.05405783653259277,473
3139_3139-1512-93_1512_93,990,0.3,0.07731032371520996,3175
3139_3139-1512-93_1512_93,3032,0.3,0.07733798027038574,3175
3139_3139-1512-93_1512_93,1769,0.3,0.07735586166381836,3175
3139_3139-1512-93_1512_93,5053,0.6,0.0775749683380127,10992
3139_3139-1512-93_1512_93,10110,0.6,0.07759857177734375,10992
3139_3139-1512-93_1512_93,50557,1.0,0.2057788372039795,50738
3139_3139-1512-93_1512_93,101109,1.0,0.3200414180755615,101554
3140_3140-1596-62_1596_62,353,0.43333333333333335,0.04860281944274902,1569
3140_3140-1596-62_1596_62,990,0.43333333333333335,0.04862546920776367,1569
3140_3140-1596-62_1596_62,3032,1.0,0.07213044166564941,3856
3140_3140-1596-62_1596_62,1769,1.0,0.07215285301208496,3856
3140_3140-1596-62_1596_62,5053,1.0,0.0996403694152832,9175
3140_3140-1596-62_1596_62,10110,1.0,0.10024237632751465,10254
3140_3140-1596-62_1596_62,50557,1.0,0.24158859252929688,56623
3140_3140-1596-62_1596_62,101109,1.0,0.4603309631347656,103013
3140_3140-2501-208_2501_208,353,0.13333333333333333,0.07519149780273438,583
3140_3140-2501-208_2501_208,990,0.2,0.07541036605834961,1559
3140_3140-2501-208_2501_208,3032,0.43333333333333335,0.0759429931640625,3483
3140_3140-2501-208_2501_208,1769,0.43333333333333335,0.0759727954864502,3483
3140_3140-2501-208_2501_208,5053,0.6666666666666666,0.07622766494750977,6097
3140_3140-2501-208_2501_208,10110,0.8,0.10436630249023438,10336
3140_3140-2501-208_2501_208,50557,1.0,0.18208956718444824,52799
3140_3140-2501-208_2501_208,101109,1.0,0.3427248001098633,101246
3140_3140-4617-139_4617_139,353,0.9666666666666667,0.024358272552490234,2044
3140_3140-4617-139_4617_139,990,0.9666666666666667,0.02437448501586914,2044
3140_3140-4617-139_4617_139,3032,0.9666666666666667,0.04601478576660156,3109
3140_3140-4617-139_4617_139,1769,0.9666666666666667,0.04604220390319824,3109
3140_3140-4617-139_4617_139,5053,0.9666666666666667,0.07217955589294434,5577
3140_3140-4617-139_4617_139,10110,0.9666666666666667,0.0971231460571289,10566
3140_3140-4617-139_4617_139,50557,0.9666666666666667,0.23187565803527832,51012
3140_3140-4617-139_4617_139,101109,1.0,0.4675285816192627,101291
3141_3141-0-139_0_139,353,0.9333333333333333,0.04832744598388672,6617
3141_3141-0-139_0_139,990,0.9333333333333333,0.048349618911743164,6617
3141_3141-0-139_0_139,3032,0.9333333333333333,0.04836225509643555,6617
3141_3141-0-139_0_139,1769,0.9333333333333333,0.04837369918823242,6617
3141_3141-0-139_0_139,5053,0.9333333333333333,0.048384666442871094,6617
3141_3141-0-139_0_139,10110,1.0,0.04897284507751465,10275
3141_3141-0-139_0_139,50557,1.0,0.2743034362792969,51972
3141_3141-0-139_0_139,101109,1.0,0.40254950523376465,106501
3141_3141-2250-93_2250_93,353,0.8333333333333334,0.04836225509643555,403
3141_3141-2250-93_2250_93,990,0.9,0.04857826232910156,1242
3141_3141-2250-93_2250_93,3032,1.0,0.04877018928527832,3916
