query,condition,knn_score,time,visited_objects
3136_3136-2240-702_2240_702,353,1.0,0.03981733322143555,11527
3136_3136-2240-702_2240_702,990,1.0,0.039839982986450195,11527
3136_3136-2240-702_2240_702,3032,1.0,0.03985118865966797,11527
3136_3136-2240-702_2240_702,1769,1.0,0.03986096382141113,11527
3136_3136-2240-702_2240_702,5053,1.0,0.039870262145996094,11527
3136_3136-2240-702_2240_702,10110,1.0,0.03987932205200195,11527
3136_3136-2240-702_2240_702,50557,1.0,0.16739726066589355,50622
3136_3136-2240-702_2240_702,101109,1.0,0.302199125289917,102305
3136_3136-306-93_306_93,353,0.6,0.03653883934020996,728
3136_3136-306-93_306_93,990,0.7666666666666667,0.0531618595123291,1340
3136_3136-306-93_306_93,3032,0.8,0.05326581001281738,12664
3136_3136-306-93_306_93,1769,0.8,0.053281545639038086,12664
3136_3136-306-93_306_93,5053,0.8,0.05329442024230957,12664
3136_3136-306-93_306_93,10110,0.8,0.053307294845581055,12664
3136_3136-306-93_306_93,50557,0.9666666666666667,0.1821155548095703,50946
3136_3136-306-93_306_93,101109,0.9666666666666667,0.3320024013519287,101172
3136_3136-4716-62_4716_62,353,0.6666666666666666,0.03688669204711914,5282
3136_3136-4716-62_4716_62,990,0.6666666666666666,0.03690338134765625,5282
3136_3136-4716-62_4716_62,3032,0.6666666666666666,0.03691363334655762,5282
3136_3136-4716-62_4716_62,1769,0.6666666666666666,0.03692293167114258,5282
3136_3136-4716-62_4716_62,5053,0.6666666666666666,0.03693199157714844,5282
3136_3136-4716-62_4716_62,10110,0.9,0.053908586502075195,10831
3136_3136-4716-62_4716_62,50557,1.0,0.1808013916015625,50708
3136_3136-4716-62_4716_62,101109,1.0,0.29309701919555664,101632
3136_3136-918-139_918_139,353,0.7,0.035776376724243164,1403
3136_3136-918-139_918_139,990,0.7,0.03579592704772949,1403
3136_3136-918-139_918_139,3032,0.8666666666666667,0.05301237106323242,14067
3136_3136-918-139_918_139,1769,0.8666666666666667,0.05303668975830078,14067
3136_3136-918-139_918_139,5053,0.8666666666666667,0.05305337905883789,14067
3136_3136-918-139_918_139,10110,0.8666666666666667,0.053069114685058594,14067
3136_3136-918-139_918_139,50557,1.0,0.14351344108581543,52076
3136_3136-918-139_918_139,101109,1.0,0.26013708114624023,101200
3137_3137-72-93_72_93,353,0.6666666666666666,0.03862738609313965,1180
3137_3137-72-93_72_93,990,0.6666666666666666,0.03864431381225586,1180
3137_3137-72-93_72_93,3032,0.9666666666666667,0.05558919906616211,3900
3137_3137-72-93_72_93,1769,0.9666666666666667,0.05561208724975586,3900
3137_3137-72-93_72_93,5053,0.9666666666666667,0.055780649185180664,5069
3137_3137-72-93_72_93,10110,0.9666666666666667,0.07316827774047852,10504
3137_3137-72-93_72_93,50557,1.0,0.22194933891296387,50795
3137_3137-72-93_72_93,101109,1.0,0.33567261695861816,105913
3138_3138-2511-468_2511_468,353,0.43333333333333335,0.03737378120422363,711
3138_3138-2511-468_2511_468,990,0.5,0.0374755859375,12035
3138_3138-2511-468_2511_468,3032,0.5,0.03748941421508789,12035
3138_3138-2511-468_2511_468,1769,0.5,0.037500619888305664,12035
3138_3138-2511-468_2511_468,5053,0.5,0.03751111030578613,12035
3138_3138-2511-468_2511_468,10110,0.5,0.0375216007232666,12035
3138_3138-2511-468_2511_468,50557,1.0,0.14635801315307617,51124
3138_3138-2511-468_2511_468,101109,1.0,0.2624993324279785,101351
3138_3138-700-702_700_702,353,0.36666666666666664,0.03571963310241699,1500
3138_3138-700-702_700_702,990,0.36666666666666664,0.03573799133300781,1500
3138_3138-700-702_700_702,3032,0.8,0.03582954406738281,12824
3138_3138-700-702_700_702,1769,0.8,0.0358428955078125,12824
3138_3138-700-702_700_702,5053,0.8,0.03585457801818848,12824
3138_3138-700-702_700_702,10110,0.8,0.03586578369140625,12824
3138_3138-700-702_700_702,50557,1.0,0.16319942474365234,50624
3138_3138-700-702_700_702,101109,1.0,0.3117365837097168,101712
3139_3139-1512-93_1512_93,353,0.16666666666666666,0.03795337677001953,1128
3139_3139-1512-93_1512_93,990,0.16666666666666666,0.037970781326293945,1128
3139_3139-1512-93_1512_93,3032,0.36666666666666664,0.03805828094482422,3695
3139_3139-1512-93_1512_93,1769,0.36666666666666664,0.038071632385253906,3695
3139_3139-1512-93_1512_93,5053,0.6666666666666666,0.05536913871765137,9764
3139_3139-1512-93_1512_93,10110,0.7666666666666667,0.05547142028808594,11495
3139_3139-1512-93_1512_93,50557,0.9666666666666667,0.1614999771118164,50631
3139_3139-1512-93_1512_93,101109,1.0,0.36966609954833984,101262
3140_3140-1596-62_1596_62,353,0.5,0.03724074363708496,936
3140_3140-1596-62_1596_62,990,1.0,0.05397200584411621,2639
3140_3140-1596-62_1596_62,3032,1.0,0.07044553756713867,7309
3140_3140-1596-62_1596_62,1769,1.0,0.0704646110534668,7309
3140_3140-1596-62_1596_62,5053,1.0,0.07047820091247559,7309
3140_3140-1596-62_1596_62,10110,1.0,0.07077741622924805,19160
3140_3140-1596-62_1596_62,50557,1.0,0.16347455978393555,50967
3140_3140-1596-62_1596_62,101109,1.0,0.36763930320739746,104034
3140_3140-2501-208_2501_208,353,0.1,0.05370831489562988,1561
3140_3140-2501-208_2501_208,990,0.1,0.05372953414916992,1561
3140_3140-2501-208_2501_208,3032,0.13333333333333333,0.05382490158081055,12885
3140_3140-2501-208_2501_208,1769,0.13333333333333333,0.053839921951293945,12885
3140_3140-2501-208_2501_208,5053,0.13333333333333333,0.05385255813598633,12885
3140_3140-2501-208_2501_208,10110,0.13333333333333333,0.053865909576416016,12885
3140_3140-2501-208_2501_208,50557,0.9666666666666667,0.16392183303833008,53067
3140_3140-2501-208_2501_208,101109,0.9666666666666667,0.30330872535705566,101122
3140_3140-4617-139_4617_139,353,0.9666666666666667,0.020647764205932617,1948
3140_3140-4617-139_4617_139,990,0.9666666666666667,0.02066516876220703,1948
3140_3140-4617-139_4617_139,3032,0.9666666666666667,0.03781723976135254,3163
3140_3140-4617-139_4617_139,1769,0.9666666666666667,0.037834882736206055,3163
3140_3140-4617-139_4617_139,5053,0.9666666666666667,0.03799700736999512,6507
3140_3140-4617-139_4617_139,10110,0.9666666666666667,0.05789041519165039,12457
3140_3140-4617-139_4617_139,50557,1.0,0.1853322982788086,51732
3140_3140-4617-139_4617_139,101109,1.0,0.3577563762664795,103092
3141_3141-0-139_0_139,353,0.9333333333333333,0.03705286979675293,5511
3141_3141-0-139_0_139,990,0.9333333333333333,0.037068843841552734,5511
3141_3141-0-139_0_139,3032,0.9333333333333333,0.03707742691040039,5511
3141_3141-0-139_0_139,1769,0.9333333333333333,0.037085771560668945,5511
3141_3141-0-139_0_139,5053,0.9333333333333333,0.037093400955200195,5511
3141_3141-0-139_0_139,10110,1.0,0.053558349609375,12781
3141_3141-0-139_0_139,50557,1.0,0.14259719848632812,50723
3141_3141-0-139_0_139,101109,1.0,0.3135061264038086,101287
3141_3141-2250-93_2250_93,353,0.8333333333333334,0.03839588165283203,583
3141_3141-2250-93_2250_93,990,0.8333333333333334,0.038485050201416016,2476
3141_3141-2250-93_2250_93,3032,1.0,0.038634300231933594,3502
3141_3141-2250-93_2250_93,1769,1.0,0.0386502742767334,3502
3141_3141-2250-93_2250_93,5053,1.0,0.05559873580932617,5518
3141_3141-2250-93_2250_93,10110,1.0,0.05621170997619629,10163
3141_3141-2250-93_2250_93,50557,1.0,0.1862795352935791,50661
3141_3141-2250-93_2250_93,101109,1.0,0.38936805725097656,101212
3141_3141-615-208_615_208,353,1.0,0.019296646118164062,807
3141_3141-615-208_615_208,990,1.0,0.03590846061706543,1010
3141_3141-615-208_615_208,3032,1.0,0.036051273345947266,12334
3141_3141-615-208_615_208,1769,1.0,0.03606605529785156,12334
3141_3141-615-208_615_208,5053,1.0,0.03607773780822754,12334
3141_3141-615-208_615_208,10110,1.0,0.03608870506286621,12334
3141_3141-615-208_615_208,50557,1.0,0.12643909454345703,50682
3141_3141-615-208_615_208,101109,1.0,0.27680468559265137,102124
3142_3142-1422-93_1422_93,353,0.5333333333333333,0.01951742172241211,860
3142_3142-1422-93_1422_93,990,0.8333333333333334,0.03663134574890137,992
3142_3142-1422-93_1422_93,3032,0.9666666666666667,0.05418968200683594,3033
3142_3142-1422-93_1422_93,1769,0.9666666666666667,0.05422568321228027,3033
3142_3142-1422-93_1422_93,5053,1.0,0.0544588565826416,5382
3142_3142-1422-93_1422_93,10110,1.0,0.07188820838928223,11268
3142_3142-1422-93_1422_93,50557,1.0,0.1828620433807373,50998
3142_3142-1422-93_1422_93,101109,1.0,0.36694955825805664,101547
3142_3142-3288-62_3288_62,353,0.9,0.05488300323486328,2524
3142_3142-3288-62_3288_62,990,0.9,0.054904937744140625,2524
3142_3142-3288-62_3288_62,3032,0.9333333333333333,0.07169699668884277,3132
3142_3142-3288-62_3288_62,1769,0.9333333333333333,0.07171821594238281,3132
3142_3142-3288-62_3288_62,5053,0.9333333333333333,0.07201337814331055,5629
3142_3142-3288-62_3288_62,10110,1.0,0.08966469764709473,12081
3142_3142-3288-62_3288_62,50557,1.0,0.14643216133117676,57764
3142_3142-3288-62_3288_62,101109,1.0,0.2981698513031006,101137
3142_3142-4305-208_4305_208,353,0.4666666666666667,0.03705430030822754,1178
3142_3142-4305-208_4305_208,990,0.4666666666666667,0.03707098960876465,1178
3142_3142-4305-208_4305_208,3032,0.7333333333333333,0.03723335266113281,4498
3142_3142-4305-208_4305_208,1769,0.7333333333333333,0.037247419357299805,4498
3142_3142-4305-208_4305_208,5053,0.7666666666666667,0.054479122161865234,6112
3142_3142-4305-208_4305_208,10110,0.8333333333333334,0.054724693298339844,10955
3142_3142-4305-208_4305_208,50557,0.9666666666666667,0.17769789695739746,50696
3142_3142-4305-208_4305_208,101109,0.9666666666666667,0.3253958225250244,101205
3142_3142-594-93_594_93,353,0.7333333333333333,0.03919649124145508,1806
3142_3142-594-93_594_93,990,0.7333333333333333,0.03921246528625488,1806
3142_3142-594-93_594_93,3032,0.9666666666666667,0.03930068016052246,3320
3142_3142-594-93_594_93,1769,0.9666666666666667,0.03931307792663574,3320
3142_3142-594-93_594_93,5053,0.9666666666666667,0.05599045753479004,6054
