query,condition,knn_score,time,visited_objects
3136_3136-2240-702_2240_702,353,1.0,0.08324456214904785,14373
3136_3136-2240-702_2240_702,990,1.0,0.08326578140258789,14373
3136_3136-2240-702_2240_702,3032,1.0,0.08327388763427734,14373
3136_3136-2240-702_2240_702,1769,1.0,0.08328080177307129,14373
3136_3136-2240-702_2240_702,5053,1.0,0.08328723907470703,14373
3136_3136-2240-702_2240_702,10110,1.0,0.08329367637634277,14373
3136_3136-2240-702_2240_702,50557,1.0,0.23938393592834473,50914
3136_3136-2240-702_2240_702,101109,1.0,0.7405366897583008,105785
3136_3136-306-93_306_93,353,0.9,0.06393265724182129,616
3136_3136-306-93_306_93,990,0.9333333333333333,0.06403040885925293,2832
3136_3136-306-93_306_93,3032,0.9333333333333333,0.09201264381408691,3128
3136_3136-306-93_306_93,1769,0.9333333333333333,0.09203267097473145,3128
3136_3136-306-93_306_93,5053,0.9333333333333333,0.09222936630249023,17841
3136_3136-306-93_306_93,10110,0.9333333333333333,0.09224295616149902,17841
3136_3136-306-93_306_93,50557,0.9666666666666667,0.274599552154541,52469
3136_3136-306-93_306_93,101109,0.9666666666666667,0.6915874481201172,103272
3136_3136-4716-62_4716_62,353,0.7333333333333333,0.07781505584716797,5354
3136_3136-4716-62_4716_62,990,0.7333333333333333,0.07784032821655273,5354
3136_3136-4716-62_4716_62,3032,0.7333333333333333,0.07785224914550781,5354
3136_3136-4716-62_4716_62,1769,0.7333333333333333,0.07786202430725098,5354
3136_3136-4716-62_4716_62,5053,0.7333333333333333,0.07787108421325684,5354
3136_3136-4716-62_4716_62,10110,0.8333333333333334,0.1053156852722168,11653
3136_3136-4716-62_4716_62,50557,1.0,0.5772740840911865,51055
3136_3136-4716-62_4716_62,101109,1.0,0.7510712146759033,103238
3136_3136-918-139_918_139,353,0.9666666666666667,2.4398462772369385,2216
3136_3136-918-139_918_139,990,0.9666666666666667,2.4398725032806396,2216
3136_3136-918-139_918_139,3032,1.0,2.467863082885742,3395
3136_3136-918-139_918_139,1769,1.0,2.4678828716278076,3395
3136_3136-918-139_918_139,5053,1.0,2.4944519996643066,18375
3136_3136-918-139_918_139,10110,1.0,2.494474172592163,18375
3136_3136-918-139_918_139,50557,1.0,2.5736353397369385,54817
3136_3136-918-139_918_139,101109,1.0,2.9296038150787354,103044
3137_3137-72-93_72_93,353,0.7333333333333333,0.05282449722290039,3678
3137_3137-72-93_72_93,990,0.7333333333333333,0.052842140197753906,3678
3137_3137-72-93_72_93,3032,0.7333333333333333,0.05285000801086426,3678
3137_3137-72-93_72_93,1769,0.7333333333333333,0.0528564453125,3678
3137_3137-72-93_72_93,5053,0.8,0.09033727645874023,6918
3137_3137-72-93_72_93,10110,1.0,0.17609596252441406,10538
3137_3137-72-93_72_93,50557,1.0,0.6112585067749023,51703
3137_3137-72-93_72_93,101109,1.0,0.9698455333709717,106248
3138_3138-2511-468_2511_468,353,0.3,0.05280423164367676,501
3138_3138-2511-468_2511_468,990,0.36666666666666664,0.052906036376953125,14874
3138_3138-2511-468_2511_468,3032,0.36666666666666664,0.05291628837585449,14874
3138_3138-2511-468_2511_468,1769,0.36666666666666664,0.05292344093322754,14874
3138_3138-2511-468_2511_468,5053,0.36666666666666664,0.05292987823486328,14874
3138_3138-2511-468_2511_468,10110,0.36666666666666664,0.05293631553649902,14874
3138_3138-2511-468_2511_468,50557,1.0,0.2286820411682129,52777
3138_3138-2511-468_2511_468,101109,1.0,0.8831489086151123,101266
3138_3138-700-702_700_702,353,0.2,0.051659584045410156,608
3138_3138-700-702_700_702,990,0.8333333333333334,0.051761627197265625,14981
3138_3138-700-702_700_702,3032,0.8333333333333334,0.05177187919616699,14981
3138_3138-700-702_700_702,1769,0.8333333333333334,0.05177950859069824,14981
3138_3138-700-702_700_702,5053,0.8333333333333334,0.051786184310913086,14981
3138_3138-700-702_700_702,10110,0.8333333333333334,0.05179309844970703,14981
3138_3138-700-702_700_702,50557,1.0,0.5960662364959717,52518
3138_3138-700-702_700_702,101109,1.0,1.0841412544250488,108576
3139_3139-1512-93_1512_93,353,0.2,0.05192089080810547,2031
3139_3139-1512-93_1512_93,990,0.2,0.05193662643432617,2031
3139_3139-1512-93_1512_93,3032,0.6333333333333333,0.05202651023864746,17202
3139_3139-1512-93_1512_93,1769,0.6333333333333333,0.05203580856323242,17202
3139_3139-1512-93_1512_93,5053,0.6333333333333333,0.05204272270202637,17202
3139_3139-1512-93_1512_93,10110,0.6333333333333333,0.05204892158508301,17202
3139_3139-1512-93_1512_93,50557,1.0,0.19099211692810059,51271
3139_3139-1512-93_1512_93,101109,1.0,0.5592477321624756,110526
3140_3140-1596-62_1596_62,353,0.0,0.061119794845581055,637
3140_3140-1596-62_1596_62,990,0.23333333333333334,0.06122231483459473,1641
3140_3140-1596-62_1596_62,3032,0.23333333333333334,0.08694100379943848,3872
3140_3140-1596-62_1596_62,1769,0.23333333333333334,0.08695840835571289,3872
3140_3140-1596-62_1596_62,5053,1.0,0.11187863349914551,9510
3140_3140-1596-62_1596_62,10110,1.0,0.11205267906188965,12374
3140_3140-1596-62_1596_62,50557,1.0,0.20317363739013672,51963
3140_3140-1596-62_1596_62,101109,1.0,0.5174107551574707,103699
3140_3140-2501-208_2501_208,353,0.5333333333333333,0.07166576385498047,3377
3140_3140-2501-208_2501_208,990,0.5333333333333333,0.07168340682983398,3377
3140_3140-2501-208_2501_208,3032,0.5333333333333333,0.07169151306152344,3377
3140_3140-2501-208_2501_208,1769,0.5333333333333333,0.07169818878173828,3377
3140_3140-2501-208_2501_208,5053,0.7333333333333333,0.09650635719299316,6582
3140_3140-2501-208_2501_208,10110,0.9,0.09674978256225586,21273
3140_3140-2501-208_2501_208,50557,1.0,0.3238708972930908,50720
3140_3140-2501-208_2501_208,101109,1.0,0.8600730895996094,105864
3140_3140-4617-139_4617_139,353,1.0,0.055444955825805664,1385
3140_3140-4617-139_4617_139,990,1.0,0.05546259880065918,1385
3140_3140-4617-139_4617_139,3032,1.0,0.10770964622497559,5078
3140_3140-4617-139_4617_139,1769,1.0,0.10773253440856934,5078
3140_3140-4617-139_4617_139,5053,1.0,0.10774588584899902,5078
3140_3140-4617-139_4617_139,10110,1.0,0.13799309730529785,22280
3140_3140-4617-139_4617_139,50557,1.0,0.35698437690734863,51371
3140_3140-4617-139_4617_139,101109,1.0,0.9654953479766846,104755
3141_3141-0-139_0_139,353,0.8,0.06131410598754883,5869
3141_3141-0-139_0_139,990,0.8,0.061334848403930664,5869
3141_3141-0-139_0_139,3032,0.8,0.06134390830993652,5869
3141_3141-0-139_0_139,1769,0.8,0.061351776123046875,5869
3141_3141-0-139_0_139,5053,0.8,0.06135869026184082,5869
3141_3141-0-139_0_139,10110,1.0,0.0877687931060791,13068
3141_3141-0-139_0_139,50557,1.0,0.4344816207885742,55627
3141_3141-0-139_0_139,101109,1.0,0.8677339553833008,101613
3141_3141-2250-93_2250_93,353,1.0,0.059998512268066406,5384
3141_3141-2250-93_2250_93,990,1.0,0.06001472473144531,5384
3141_3141-2250-93_2250_93,3032,1.0,0.06002235412597656,5384
3141_3141-2250-93_2250_93,1769,1.0,0.060028791427612305,5384
3141_3141-2250-93_2250_93,5053,1.0,0.06003451347351074,5384
3141_3141-2250-93_2250_93,10110,1.0,0.08712458610534668,15434
3141_3141-2250-93_2250_93,50557,1.0,0.6827950477600098,64543
3141_3141-2250-93_2250_93,101109,1.0,1.0077109336853027,115268
3141_3141-615-208_615_208,353,1.0,0.057356834411621094,789
3141_3141-615-208_615_208,990,1.0,0.11612963676452637,3518
3141_3141-615-208_615_208,3032,1.0,0.11615180969238281,3518
3141_3141-615-208_615_208,1769,1.0,0.11616373062133789,3518
3141_3141-615-208_615_208,5053,1.0,0.11634111404418945,18144
3141_3141-615-208_615_208,10110,1.0,0.11635518074035645,18144
3141_3141-615-208_615_208,50557,1.0,0.3767063617706299,51983
3141_3141-615-208_615_208,101109,1.0,0.7087132930755615,102333
3142_3142-1422-93_1422_93,353,0.4666666666666667,0.06285262107849121,717
3142_3142-1422-93_1422_93,990,0.9333333333333333,0.08991241455078125,1685
