query,condition,knn_score,time,visited_objects
1866366,500,0.5,0.10692739486694336,1567
1866366,1000,0.5,0.10695385932922363,1567
1866366,3000,0.7333333333333333,0.12182736396789551,3140
1866366,5000,0.7666666666666667,0.36710190773010254,5593
1866366,10000,0.7666666666666667,0.382016658782959,10077
1866366,50000,0.9,1.3740234375,51651
1866366,100000,0.9333333333333333,1.8895750045776367,100106
1866366,200000,1.0,3.3558056354522705,200085
1866366,300000,1.0,6.228758335113525,300479
1866366,500000,1.0,13.449505805969238,501243
1866367,500,0.1,0.10385918617248535,4321
1866367,1000,0.1,0.10387659072875977,4321
1866367,3000,0.1,0.10388755798339844,4321
1866367,5000,0.13333333333333333,0.15412187576293945,5472
1866367,10000,0.43333333333333335,0.2165365219116211,10103
1866367,50000,0.8666666666666667,1.109839916229248,50355
1866367,100000,0.9333333333333333,2.088568925857544,100526
1866367,200000,0.9333333333333333,3.4463119506835938,200089
1866367,300000,0.9666666666666667,5.710483551025391,301085
1866367,500000,1.0,12.464219808578491,500487
1866480,500,0.03333333333333333,0.20568323135375977,1157
1866480,1000,0.03333333333333333,0.20572209358215332,1157
1866480,3000,0.7,0.29778099060058594,3734
1866480,5000,0.7666666666666667,0.4607813358306885,5748
1866480,10000,0.9,0.611133337020874,10056
1866480,50000,0.9333333333333333,1.1399500370025635,51307
1866480,100000,1.0,1.6718530654907227,100297
1866480,200000,1.0,2.959738254547119,200592
1866480,300000,1.0,6.160951852798462,301686
1866480,500000,1.0,11.457884550094604,500149
1866551,500,0.0,0.23662757873535156,794
1866551,1000,0.0,0.2951540946960449,1296
1866551,3000,0.2,0.3107292652130127,3724
1866551,5000,0.2,0.32622361183166504,5033
1866551,10000,0.23333333333333334,0.4346494674682617,10076
1866551,50000,0.7333333333333333,1.2012851238250732,51296
1866551,100000,0.7666666666666667,3.3479135036468506,101929
1866551,200000,1.0,4.933238744735718,203947
1866551,300000,1.0,7.51915168762207,300012
1866551,500000,1.0,16.714367151260376,500062
1866643,500,0.0,0.2176508903503418,1279
1866643,1000,0.0,0.21767067909240723,1279
1866643,3000,0.06666666666666667,0.3371310234069824,3024
1866643,5000,0.2,0.38097620010375977,5634
1866643,10000,0.2,0.439802885055542,10294
1866643,50000,0.4666666666666667,1.1549606323242188,50646
1866643,100000,0.6333333333333333,1.9590959548950195,100793
1866643,200000,0.9666666666666667,3.4099884033203125,200081
1866643,300000,0.9666666666666667,6.0387208461761475,300924
1866643,500000,1.0,11.82276177406311,500086
1866756,500,0.13333333333333333,0.13834929466247559,1754
1866756,1000,0.13333333333333333,0.13836979866027832,1754
1866756,3000,0.13333333333333333,0.19174790382385254,4049
1866756,5000,0.13333333333333333,0.22109222412109375,5070
1866756,10000,0.3,0.5494403839111328,11563
1866756,50000,0.7666666666666667,1.4408581256866455,50349
1866756,100000,0.7666666666666667,4.173895835876465,102215
1866756,200000,0.9666666666666667,5.973262071609497,200789
1866756,300000,0.9666666666666667,11.26385235786438,300687
1866756,500000,0.9666666666666667,18.97938084602356,500420
1866897,500,0.1,0.35669779777526855,546
1866897,1000,0.1,0.4640371799468994,1060
1866897,3000,0.23333333333333334,0.5230956077575684,3752
1866897,5000,0.26666666666666666,0.711796760559082,6108
1866897,10000,0.3333333333333333,0.7559716701507568,10695
1866897,50000,0.7666666666666667,1.8668010234832764,50091
1866897,100000,0.9,2.436279535293579,100327
1866897,200000,0.9,4.753157377243042,200488
1866897,300000,0.9666666666666667,8.655329704284668,300563
1866897,500000,0.9666666666666667,15.991713523864746,500115
1866984,500,0.23333333333333334,0.10461091995239258,623
1866984,1000,0.26666666666666666,0.18152737617492676,1434
1866984,3000,0.36666666666666664,0.21335864067077637,3836
1866984,5000,0.36666666666666664,0.22800564765930176,5126
1866984,10000,0.43333333333333335,0.22832059860229492,11656
1866984,50000,0.8333333333333334,1.1191632747650146,52027
1866984,100000,0.9333333333333333,3.269167423248291,101241
1866984,200000,0.9666666666666667,12.243165016174316,200079
1866984,300000,0.9666666666666667,14.204572200775146,301485
1866984,500000,0.9666666666666667,23.969974517822266,500035
1867048,500,0.26666666666666666,0.16338682174682617,2166
1867048,1000,0.26666666666666666,0.16340923309326172,2166
1867048,3000,0.3,0.20786380767822266,3614
1867048,5000,0.3333333333333333,0.22324275970458984,6095
1867048,10000,0.3333333333333333,0.31241941452026367,10085
1867048,50000,0.8,1.0500729084014893,51407
1867048,100000,0.9666666666666667,2.4775009155273438,101769
1867048,200000,1.0,4.363950490951538,203988
1867048,300000,1.0,5.788919448852539,300514
1867048,500000,1.0,14.417933702468872,500870
1867141,500,0.06666666666666667,0.0902252197265625,1918
1867141,1000,0.06666666666666667,0.09024882316589355,1918
1867141,3000,0.43333333333333335,0.13600826263427734,4922
1867141,5000,0.7333333333333333,0.1657257080078125,5462
1867141,10000,0.8333333333333334,0.23992109298706055,10545
1867141,50000,0.9,1.6148326396942139,50469
1867141,100000,0.9666666666666667,3.586838960647583,101543
1867141,200000,0.9666666666666667,6.924982070922852,200005
1867141,300000,0.9666666666666667,9.07520580291748,300257
1867141,500000,0.9666666666666667,14.595669269561768,502557
1867220,500,0.16666666666666666,0.09621906280517578,574
1867220,1000,0.6,0.09631729125976562,1223
1867220,3000,0.7666666666666667,0.36748480796813965,3132
1867220,5000,0.8,0.4413936138153076,5061
1867220,10000,0.8,0.5289320945739746,10102
1867220,50000,0.9,1.2190420627593994,50514
1867220,100000,1.0,2.126455068588257,100059
1867220,200000,1.0,3.240807294845581,200141
1867220,300000,1.0,6.256539821624756,300518
1867220,500000,1.0,15.679117679595947,500575
1867358,500,0.16666666666666666,0.17584514617919922,746
1867358,1000,0.2,0.20500922203063965,1032
1867358,3000,0.36666666666666664,0.25046277046203613,3908
1867358,5000,0.4,0.2654917240142822,5370
1867358,10000,0.4666666666666667,0.39994168281555176,12705
1867358,50000,0.8666666666666667,1.0342605113983154,50442
1867358,100000,1.0,2.483548402786255,100416
1867358,200000,1.0,4.7062530517578125,200509
1867358,300000,1.0,7.425371408462524,300001
1867358,500000,1.0,13.996220588684082,500527
1867451,500,0.43333333333333335,0.09629487991333008,2424
1867451,1000,0.43333333333333335,0.0963125228881836,2424
1867451,3000,0.5,0.15447688102722168,3524
1867451,5000,0.5333333333333333,0.16904973983764648,6219
1867451,10000,0.5333333333333333,0.29148387908935547,10874
1867451,50000,0.8,1.1485118865966797,50157
1867451,100000,0.8666666666666667,2.1954185962677,100092
1867451,200000,0.8666666666666667,4.67717719078064,200070
1867451,300000,0.9,6.222341775894165,303402
1867451,500000,0.9666666666666667,15.51043701171875,500001
1867595,500,0.03333333333333333,0.0793917179107666,693
1867595,1000,0.03333333333333333,0.07948899269104004,2192
1867595,3000,0.03333333333333333,0.13776183128356934,4435
1867595,5000,0.26666666666666666,0.18190598487854004,6859
1867595,10000,0.3,0.22864603996276855,10356
1867595,50000,0.5333333333333333,0.9261794090270996,50513
1867595,100000,0.6,1.5736033916473389,101283
1867595,200000,0.7666666666666667,3.8549368381500244,200943
1867595,300000,0.8666666666666667,6.152997255325317,300126
1867595,500000,1.0,14.163240194320679,500017
1867650,500,0.43333333333333335,0.08036971092224121,931
1867650,1000,0.6,0.08046770095825195,1157
1867650,3000,0.7,0.20177960395812988,3865
1867650,5000,0.7666666666666667,0.20203876495361328,5199
1867650,10000,0.7666666666666667,0.408738374710083,10150
1867650,50000,0.9666666666666667,1.1673271656036377,50437
1867650,100000,0.9666666666666667,1.934889793395996,101055
1867650,200000,0.9666666666666667,3.8698976039886475,200069
1867650,300000,0.9666666666666667,6.941225051879883,300563
1867650,500000,1.0,16.43637251853943,500127
1867724,500,0.2,0.14838814735412598,1157
1867724,1000,0.2,0.1484079360961914,1157
1867724,3000,0.43333333333333335,0.19247889518737793,3086
1867724,5000,0.4666666666666667,0.268324613571167,5277
1867724,10000,0.7,0.37157559394836426,12404
1867724,50000,1.0,0.7780735492706299,51001
1867724,100000,1.0,1.5605785846710205,100461
1867724,200000,1.0,3.8124327659606934,200595
1867724,300000,1.0,6.304954290390015,300372
1867724,500000,1.0,17.687795162200928,502915
1867828,500,0.06666666666666667,0.12985467910766602,1079
1867828,1000,0.06666666666666667,0.12987780570983887,1079
1867828,3000,0.13333333333333333,0.14485597610473633,4418
1867828,5000,0.3333333333333333,0.2689540386199951,5271
1867828,10000,0.3333333333333333,0.31316614151000977,10589
1867828,50000,0.7,0.8034634590148926,50187
1867828,100000,0.7666666666666667,1.8717420101165771,100394
1867828,200000,0.9,5.294856786727905,200960
1867828,300000,0.9333333333333333,7.635997295379639,300650
1867828,500000,1.0,16.296772480010986,500206
1867957,500,0.06666666666666667,0.09308338165283203,1558
1867957,1000,0.06666666666666667,0.09310388565063477,1558
1867957,3000,0.23333333333333334,0.29023170471191406,3045
1867957,5000,0.4666666666666667,0.3051290512084961,5614
1867957,10000,0.5,0.48291516304016113,10121
1867957,50000,0.9,1.987205982208252,50141
1867957,100000,0.9333333333333333,3.2557151317596436,100686
1867957,200000,0.9333333333333333,4.640483140945435,200681
1867957,300000,0.9666666666666667,6.586878061294556,300005
1867957,500000,1.0,13.979743957519531,500030
1868060,500,0.1,0.0971212387084961,989
1868060,1000,0.1,0.12719416618347168,1561
1868060,3000,0.1,0.20126771926879883,3211
1868060,5000,0.16666666666666666,0.35296106338500977,5490
1868060,10000,0.3333333333333333,0.5146844387054443,10430
1868060,50000,0.5666666666666667,1.194789171218872,50543
1868060,100000,0.9,1.6767761707305908,100898
1868060,200000,0.9333333333333333,3.46018385887146,200212
1868060,300000,0.9333333333333333,5.55156397819519,300001
1868060,500000,0.9333333333333333,8.489526510238647,500001
1868139,500,0.43333333333333335,0.07950663566589355,2424
1868139,1000,0.43333333333333335,0.07952427864074707,2424
1868139,3000,0.5,0.12374091148376465,5119
1868139,5000,0.5,0.12376070022583008,5119
1868139,10000,0.5,0.16965174674987793,10073
1868139,50000,0.8,1.4775543212890625,50148
1868139,100000,0.9,2.5710785388946533,100750
1868139,200000,0.9,4.6314616203308105,200401
1868139,300000,0.9666666666666667,9.525545358657837,300009
1868139,500000,1.0,19.249894857406616,500347
1868237,500,0.0,0.17200160026550293,682
1868237,1000,0.0,0.2452106475830078,2089
1868237,3000,0.0,0.36287546157836914,3029
1868237,5000,0.0,0.37779974937438965,5162
1868237,10000,0.0,0.4369840621948242,10857
1868237,50000,0.7333333333333333,1.369523525238037,50000
1868237,100000,0.8666666666666667,2.458871841430664,100155
1868237,200000,0.9,4.0710320472717285,200167
1868237,300000,0.9666666666666667,6.948828458786011,300180
1868237,500000,1.0,14.531136751174927,500401
1868410,500,0.1,0.21774959564208984,1443
1868410,1000,0.1,0.21777129173278809,1443
1868410,3000,0.1,0.2941780090332031,3236
1868410,5000,0.13333333333333333,0.3091874122619629,6238
1868410,10000,0.16666666666666666,0.6383538246154785,10036
1868410,50000,0.4,1.0334892272949219,50546
1868410,100000,0.5666666666666667,1.5331199169158936,100898
1868410,200000,0.8666666666666667,3.333897590637207,200072
1868410,300000,0.9333333333333333,5.182077407836914,301635
1868410,500000,1.0,11.12775206565857,501502
1868502,500,0.16666666666666666,0.2157735824584961,807
1868502,1000,0.16666666666666666,0.21587443351745605,1140
1868502,3000,0.2,0.3337666988372803,3247
1868502,5000,0.26666666666666666,0.4674501419067383,5406
1868502,10000,0.3333333333333333,0.5712673664093018,11641
1868502,50000,0.7666666666666667,1.0018653869628906,50496
1868502,100000,0.9,1.8392035961151123,100205
1868502,200000,1.0,3.951413631439209,201738
1868502,300000,1.0,5.441685914993286,300102
1868502,500000,1.0,12.5092191696167,500568
1868611,500,0.03333333333333333,0.07876157760620117,649
1868611,1000,0.06666666666666667,0.12237334251403809,1190
1868611,3000,0.26666666666666666,0.21372079849243164,3350
1868611,5000,0.36666666666666664,0.2581214904785156,6045
1868611,10000,0.36666666666666664,0.3458852767944336,10318
1868611,50000,0.8,1.2414004802703857,50511
1868611,100000,0.9,3.1706764698028564,100012
1868611,200000,0.9333333333333333,5.140478134155273,200692
1868611,300000,1.0,9.138476371765137,301908
1868611,500000,1.0,15.699343919754028,500000
1868630,500,0.06666666666666667,0.17620015144348145,710
1868630,1000,0.26666666666666666,0.1763753890991211,1551
1868630,3000,0.5666666666666667,0.17653870582580566,4218
1868630,5000,0.6,0.22241806983947754,5339
1868630,10000,0.8333333333333334,0.36886072158813477,10031
1868630,50000,1.0,1.1787798404693604,50040
1868630,100000,1.0,1.8762943744659424,100121
1868630,200000,1.0,3.80070161819458,201000
1868630,300000,1.0,5.72784948348999,300036
1868630,500000,1.0,14.150756120681763,500580
1868737,500,0.1,0.15764665603637695,719
1868737,1000,0.1,0.2599959373474121,1565
1868737,3000,0.23333333333333334,0.31961679458618164,3229
1868737,5000,0.4,0.3928813934326172,7487
1868737,10000,0.6666666666666666,0.48154401779174805,10228
1868737,50000,1.0,1.0295565128326416,51169
1868737,100000,1.0,1.7319352626800537,100195
1868737,200000,1.0,3.8453598022460938,201888
1868737,300000,1.0,6.25282621383667,301021
1868737,500000,1.0,15.838762760162354,500044
1868920,500,0.03333333333333333,0.0862584114074707,4321
1868920,1000,0.03333333333333333,0.08627629280090332,4321
1868920,3000,0.03333333333333333,0.08628702163696289,4321
1868920,5000,0.16666666666666666,0.08637666702270508,5015
