query,condition,knn_score,time,visited_objects
296166,500,0.03333333333333333,0.09407901763916016,718
296166,1000,0.06666666666666667,0.0954592227935791,1229
296166,3000,0.1,0.09731912612915039,3756
296166,5000,0.2,0.09814453125,6941
296166,10000,0.3333333333333333,0.10419416427612305,10081
296166,50000,0.6,0.16809582710266113,50428
296166,100000,0.7,0.2650907039642334,100135
296166,200000,0.7666666666666667,0.5184307098388672,200344
296166,300000,0.8666666666666667,0.7943136692047119,300018
296166,500000,0.8666666666666667,1.2940266132354736,500308
551155,500,0.1,0.0012631416320800781,1064
551155,1000,0.1,0.0012879371643066406,1064
551155,3000,0.23333333333333334,0.003249645233154297,3010
551155,5000,0.26666666666666666,0.0053555965423583984,6162
551155,10000,0.3333333333333333,0.009021997451782227,10774
551155,50000,0.6333333333333333,0.06127047538757324,50209
551155,100000,0.7,0.19656085968017578,100105
551155,200000,0.7666666666666667,0.5037956237792969,200005
551155,300000,0.8333333333333334,0.8227503299713135,300208
551155,500000,0.8666666666666667,1.3163623809814453,502036
557192,500,0.03333333333333333,0.0017397403717041016,940
557192,1000,0.03333333333333333,0.0021779537200927734,1153
557192,3000,0.06666666666666667,0.0023615360260009766,4749
557192,5000,0.06666666666666667,0.002866506576538086,5322
557192,10000,0.13333333333333333,0.004698514938354492,10852
557192,50000,0.4,0.06081843376159668,50011
557192,100000,0.5666666666666667,0.12123727798461914,100103
557192,200000,0.6,0.3423635959625244,200056
557192,300000,0.8,0.6266677379608154,301002
557192,500000,0.9333333333333333,1.2110595703125,500883
565691,500,0.03333333333333333,0.0018274784088134766,890
565691,1000,0.13333333333333333,0.001989603042602539,3582
565691,3000,0.13333333333333333,0.0020134449005126953,3582
565691,5000,0.13333333333333333,0.0032193660736083984,5180
565691,10000,0.23333333333333334,0.0070285797119140625,11580
565691,50000,0.6666666666666666,0.04700589179992676,51023
565691,100000,0.9,0.1356956958770752,100513
565691,200000,0.9,0.4392850399017334,200467
565691,300000,0.9,0.723167896270752,300434
565691,500000,0.9666666666666667,1.3235957622528076,500375
597668,500,0.1,0.0017528533935546875,1255
597668,1000,0.1,0.0017805099487304688,1255
597668,3000,0.3,0.0032663345336914062,4139
597668,5000,0.43333333333333335,0.004398822784423828,5279
597668,10000,0.7333333333333333,0.017111778259277344,10272
597668,50000,0.9,0.10057330131530762,50101
597668,100000,0.9666666666666667,0.21886038780212402,100071
597668,200000,1.0,0.5537443161010742,200002
597668,300000,1.0,0.8438889980316162,300031
597668,500000,1.0,1.3213176727294922,500044
887357,500,0.03333333333333333,0.0025870800018310547,1136
887357,1000,0.03333333333333333,0.0026214122772216797,1136
887357,3000,0.06666666666666667,0.005939006805419922,3168
887357,5000,0.06666666666666667,0.007204294204711914,5057
887357,10000,0.13333333333333333,0.010619163513183594,10131
887357,50000,0.5333333333333333,0.0714106559753418,50116
887357,100000,0.6666666666666666,0.1594235897064209,100535
887357,200000,0.8666666666666667,0.45358729362487793,200205
887357,300000,0.9333333333333333,0.7352659702301025,300038
887357,500000,0.9666666666666667,1.2423391342163086,500049
930954,500,0.23333333333333334,0.002294778823852539,730
930954,1000,0.23333333333333334,0.0024232864379882812,1457
930954,3000,0.23333333333333334,0.002997875213623047,3589
930954,5000,0.23333333333333334,0.003285646438598633,5386
