query,condition,knn_score,time,visited_objects
3136_3136-2240-702_2240_702,353,1.0,0.10081124305725098,11121
3136_3136-2240-702_2240_702,990,1.0,0.10084724426269531,11121
3136_3136-2240-702_2240_702,3032,1.0,0.10085487365722656,11121
3136_3136-2240-702_2240_702,1769,1.0,0.1008608341217041,11121
3136_3136-2240-702_2240_702,5053,1.0,0.10086655616760254,11121
3136_3136-2240-702_2240_702,10110,1.0,0.10087180137634277,11121
3136_3136-2240-702_2240_702,50557,1.0,0.14173197746276855,50762
3136_3136-2240-702_2240_702,101109,1.0,0.19341635704040527,102818
3136_3136-306-93_306_93,353,0.6,0.02637457847595215,734
3136_3136-306-93_306_93,990,0.6666666666666666,0.02641582489013672,1084
3136_3136-306-93_306_93,3032,0.8333333333333334,0.06522893905639648,4204
3136_3136-306-93_306_93,1769,0.8333333333333334,0.06525182723999023,4204
3136_3136-306-93_306_93,5053,0.8666666666666667,0.06527972221374512,15325
3136_3136-306-93_306_93,10110,0.8666666666666667,0.0652914047241211,15325
3136_3136-306-93_306_93,50557,0.9666666666666667,0.09724855422973633,54996
3136_3136-306-93_306_93,101109,0.9666666666666667,0.16878104209899902,101892
3136_3136-4716-62_4716_62,353,0.7666666666666667,0.02498602867126465,1909
3136_3136-4716-62_4716_62,990,0.7666666666666667,0.025009870529174805,1909
3136_3136-4716-62_4716_62,3032,0.9,0.025029897689819336,6890
3136_3136-4716-62_4716_62,1769,0.9,0.025037288665771484,6890
3136_3136-4716-62_4716_62,5053,0.9,0.025043249130249023,6890
3136_3136-4716-62_4716_62,10110,0.9333333333333333,0.0250701904296875,12144
3136_3136-4716-62_4716_62,50557,1.0,0.08356308937072754,50765
3136_3136-4716-62_4716_62,101109,1.0,0.19671320915222168,101272
3136_3136-918-139_918_139,353,0.23333333333333334,0.027348756790161133,835
3136_3136-918-139_918_139,990,0.8666666666666667,0.027387380599975586,2137
3136_3136-918-139_918_139,3032,0.9333333333333333,0.03592491149902344,3154
3136_3136-918-139_918_139,1769,0.9333333333333333,0.03594183921813965,3154
3136_3136-918-139_918_139,5053,1.0,0.05353856086730957,5218
3136_3136-918-139_918_139,10110,1.0,0.07127928733825684,10914
