query,condition,knn_score,time,visited_objects
112,500,0.03333333333333333,0.07566165924072266,711
112,1000,0.6666666666666666,0.07584953308105469,25049
112,3000,0.6666666666666666,0.07586407661437988,25049
112,5000,0.6666666666666666,0.07587480545043945,25049
112,10000,0.6666666666666666,0.07588434219360352,25049
112,50000,0.9,0.10723686218261719,79926
112,100000,0.9,0.10787391662597656,104537
112,200000,0.9666666666666667,0.1938185691833496,200896
112,300000,0.9666666666666667,0.28145265579223633,300391
112,500000,1.0,0.6121366024017334,500177
168,500,0.4666666666666667,0.05088996887207031,3605
168,1000,0.4666666666666667,0.05091142654418945,3605
168,3000,0.4666666666666667,0.05092287063598633,3605
168,5000,0.5666666666666667,0.07110190391540527,6936
168,10000,0.5666666666666667,0.07138514518737793,13621
168,50000,0.9,0.135664701461792,50336
168,100000,0.9333333333333333,0.19925713539123535,100239
168,200000,1.0,0.28086376190185547,201673
168,300000,1.0,0.397611141204834,301306
168,500000,1.0,0.8736674785614014,511598
260,500,0.0,0.04616594314575195,501
260,1000,0.13333333333333333,0.046338558197021484,1677
260,3000,0.13333333333333333,0.046439170837402344,3236
260,5000,0.36666666666666664,0.046532392501831055,22255
260,10000,0.36666666666666664,0.046547889709472656,22255
260,50000,0.6,0.11781740188598633,53946
260,100000,0.8666666666666667,0.17264199256896973,101559
260,200000,0.9,0.2605752944946289,200311
260,300000,0.9,0.294719934463501,301728
260,500000,1.0,0.5031108856201172,501425
388,500,0.0,0.0472254753112793,501
388,1000,0.13333333333333333,0.04742121696472168,3655
388,3000,0.13333333333333333,0.04743623733520508,3655
388,5000,0.26666666666666666,0.06851077079772949,7227
388,10000,0.4,0.06872224807739258,13360
388,50000,0.7666666666666667,0.13141441345214844,50579
388,100000,0.7666666666666667,0.1586742401123047,100139
388,200000,0.9666666666666667,0.2541370391845703,200173
388,300000,1.0,0.31842947006225586,300453
388,500000,1.0,0.7884068489074707,500061
578,500,0.0,0.05114865303039551,711
578,1000,0.23333333333333334,0.05132699012756348,3430
578,3000,0.23333333333333334,0.05134153366088867,3430
578,5000,0.43333333333333335,0.05144071578979492,27768
578,10000,0.43333333333333335,0.051454782485961914,27768
578,50000,0.8333333333333334,0.07368803024291992,55500
578,100000,0.9,0.09639191627502441,100759
578,200000,1.0,0.19035983085632324,201813
578,300000,1.0,0.3158867359161377,304180
578,500000,1.0,0.6175251007080078,500329
