query,condition,knn_score,time,visited_objects
112,500,0.6666666666666666,0.02293086051940918,25739
112,1000,0.6666666666666666,0.022953510284423828,25739
112,3000,0.6666666666666666,0.0229644775390625,25739
112,5000,0.6666666666666666,0.022974729537963867,25739
112,10000,0.6666666666666666,0.022984027862548828,25739
112,50000,0.8,0.03330564498901367,75112
112,100000,0.9,0.04333853721618652,100792
112,200000,1.0,0.09900450706481934,202150
112,300000,1.0,0.1744234561920166,300703
112,500000,1.0,0.3441450595855713,500143
168,500,0.13333333333333333,0.02758502960205078,2295
168,1000,0.13333333333333333,0.02760767936706543,2295
168,3000,0.5333333333333333,0.037702322006225586,4733
168,5000,0.5666666666666667,0.037824392318725586,9421
168,10000,0.5666666666666667,0.037923574447631836,10332
168,50000,0.6666666666666666,0.048451900482177734,93018
168,100000,0.7,0.048738956451416016,118755
168,200000,0.8666666666666667,0.09813761711120605,200536
168,300000,0.9,0.169752836227417,304516
168,500000,1.0,0.29116082191467285,501315
260,500,0.2,0.028783559799194336,1413
260,1000,0.2,0.028801679611206055,1413
260,3000,0.5,0.028902053833007812,25724
260,5000,0.5,0.0289154052734375,25724
260,10000,0.5,0.028926849365234375,25724
260,50000,0.6333333333333333,0.04783344268798828,54454
260,100000,0.7666666666666667,0.05796551704406738,103472
260,200000,0.8666666666666667,0.07912421226501465,219441
260,300000,0.9666666666666667,0.10094046592712402,301187
260,500000,1.0,0.2475595474243164,501029
388,500,0.23333333333333334,0.026656627655029297,3241
388,1000,0.23333333333333334,0.02667546272277832,3241
388,3000,0.23333333333333334,0.02668595314025879,3241
388,5000,0.26666666666666666,0.02677774429321289,7969
388,10000,0.26666666666666666,0.026940107345581055,33207
388,50000,0.4,0.03682446479797363,53002
388,100000,0.43333333333333335,0.057067155838012695,115980
388,200000,0.8,0.10961484909057617,200366
388,300000,0.8333333333333334,0.12123227119445801,300182
388,500000,1.0,0.20097994804382324,500691
578,500,0.26666666666666666,0.025583744049072266,2308
578,1000,0.26666666666666666,0.025604963302612305,2308
578,3000,0.4666666666666667,0.02570056915283203,28043
578,5000,0.4666666666666667,0.02571725845336914,28043
