query,condition,knn_score,time,visited_objects
112,500,0.03333333333333333,0.1495954990386963,49238
112,1000,0.03333333333333333,0.14963793754577637,49238
112,3000,0.03333333333333333,0.1496579647064209,49238
112,5000,0.03333333333333333,0.14967656135559082,49238
112,10000,0.03333333333333333,0.14969444274902344,49238
112,50000,0.7333333333333333,0.14989399909973145,93201
112,100000,0.9333333333333333,0.15001773834228516,198156
112,200000,0.9333333333333333,0.15012669563293457,271949
112,300000,0.9333333333333333,0.15023279190063477,306633
112,500000,1.0,0.15102767944335938,511320
168,500,0.0,0.43212032318115234,49238
168,1000,0.0,0.43215513229370117,49238
168,3000,0.0,0.4321713447570801,49238
168,5000,0.0,0.4321858882904053,49238
168,10000,0.0,0.43220019340515137,49238
168,50000,0.23333333333333334,0.4323740005493164,128094
168,100000,0.23333333333333334,0.4323909282684326,128094
168,200000,1.0,0.4330604076385498,214541
168,300000,1.0,0.4332129955291748,366246
168,500000,1.0,0.43376731872558594,514066
260,500,0.0,0.06909394264221191,49238
260,1000,0.0,0.0691227912902832,49238
260,3000,0.0,0.06913876533508301,49238
260,5000,0.0,0.0691530704498291,49238
260,10000,0.0,0.0691676139831543,49238
260,50000,0.6,0.06932663917541504,123031
260,100000,0.6,0.06934380531311035,123031
260,200000,0.7333333333333333,0.06943774223327637,201887
260,300000,0.8666666666666667,0.06977367401123047,350312
260,500000,0.8666666666666667,0.07039737701416016,542453
388,500,0.0,0.06625795364379883,49238
388,1000,0.0,0.06629133224487305,49238
388,3000,0.0,0.06630921363830566,49238
388,5000,0.0,0.06632566452026367,49238
388,10000,0.0,0.06634140014648438,49238
388,50000,0.4666666666666667,0.06653070449829102,123031
388,100000,0.4666666666666667,0.06654977798461914,123031
388,200000,0.7666666666666667,0.06704282760620117,237801
388,300000,0.9333333333333333,0.06735634803771973,304904
388,500000,1.0,0.06808233261108398,530179
578,500,0.06666666666666667,0.07368922233581543,49238
578,1000,0.06666666666666667,0.07371950149536133,49238
578,3000,0.06666666666666667,0.07373595237731934,49238
578,5000,0.06666666666666667,0.07375025749206543,49238
578,10000,0.06666666666666667,0.07376456260681152,49238
578,50000,0.5333333333333333,0.07392477989196777,93201
578,100000,0.9,0.0740208625793457,119401
578,200000,1.0,0.07417702674865723,259040
578,300000,1.0,0.07499837875366211,301689
578,500000,1.0,0.07567763328552246,521602
632,500,0.03333333333333333,0.06834721565246582,49238
632,1000,0.03333333333333333,0.06837654113769531,49238
632,3000,0.03333333333333333,0.06839227676391602,49238
632,5000,0.03333333333333333,0.06840634346008301,49238
632,10000,0.03333333333333333,0.0684201717376709,49238
632,50000,0.36666666666666664,0.06857037544250488,93201
632,100000,0.9333333333333333,0.06866741180419922,198156
632,200000,0.9333333333333333,0.06882524490356445,200408
632,300000,0.9333333333333333,0.06946086883544922,308308
632,500000,1.0,0.07031702995300293,543764
733,500,0.0,0.09157514572143555,49238
733,1000,0.0,0.09160637855529785,49238
733,3000,0.0,0.09162259101867676,49238
733,5000,0.0,0.09163665771484375,49238
733,10000,0.0,0.09165072441101074,49238
733,50000,0.6,0.09182500839233398,59112
733,100000,0.9333333333333333,0.09216618537902832,159741
733,200000,0.9333333333333333,0.09238624572753906,267328
733,300000,0.9666666666666667,0.09261322021484375,341292
733,500000,1.0,0.09312772750854492,515650
875,500,0.1,0.06729841232299805,49238
875,1000,0.1,0.06732773780822754,49238
875,3000,0.1,0.06734371185302734,49238
875,5000,0.1,0.06735825538635254,49238
875,10000,0.1,0.06737208366394043,49238
875,50000,0.4,0.06752920150756836,75438
875,100000,0.7666666666666667,0.06776595115661621,121538
875,200000,0.9,0.06797957420349121,230081
875,300000,0.9,0.0690300464630127,305622
875,500000,1.0,0.06960082054138184,506125
980,500,0.0,0.06733274459838867,49238
980,1000,0.0,0.06736230850219727,49238
980,3000,0.0,0.06737828254699707,49238
980,5000,0.0,0.06739258766174316,49238
980,10000,0.0,0.06740641593933105,49238
980,50000,0.13333333333333333,0.06755232810974121,52369
980,100000,1.0,0.06867170333862305,102094
980,200000,1.0,0.06930088996887207,201484
980,300000,1.0,0.06962895393371582,364176
980,500000,1.0,0.07059741020202637,506372
1357,500,0.13333333333333333,0.06632447242736816,49238
1357,1000,0.13333333333333333,0.06635379791259766,49238
1357,3000,0.13333333333333333,0.06636977195739746,49238
1357,5000,0.13333333333333333,0.06638407707214355,49238
1357,10000,0.13333333333333333,0.06639814376831055,49238
1357,50000,0.6333333333333333,0.06655478477478027,123031
1357,100000,0.6333333333333333,0.06657195091247559,123031
1357,200000,0.8333333333333334,0.0666658878326416,227986
1357,300000,1.0,0.06719613075256348,332504
1357,500000,1.0,0.06811952590942383,501719
1489,500,0.0,0.06830501556396484,49238
1489,1000,0.0,0.06833362579345703,49238
1489,3000,0.0,0.06835031509399414,49238
1489,5000,0.0,0.06836509704589844,49238
1489,10000,0.0,0.06837916374206543,49238
1489,50000,0.23333333333333334,0.06853866577148438,128094
1489,100000,0.23333333333333334,0.06855630874633789,128094
1489,200000,0.8,0.06885218620300293,207396
1489,300000,0.9666666666666667,0.06943154335021973,340033
1489,500000,1.0,0.07071256637573242,502108
1926,500,0.0,0.07880091667175293,49238
1926,1000,0.0,0.07883071899414062,49238
1926,3000,0.0,0.07884693145751953,49238
1926,5000,0.0,0.07886147499084473,49238
1926,10000,0.0,0.07887530326843262,49238
1926,50000,0.8333333333333334,0.07902193069458008,154193
1926,100000,0.8333333333333334,0.07903885841369629,154193
1926,200000,0.9666666666666667,0.0793755054473877,216611
1926,300000,1.0,0.07952404022216797,301561
1926,500000,1.0,0.0813438892364502,577814
1990,500,0.06666666666666667,0.06379008293151855,49238
1990,1000,0.06666666666666667,0.06381964683532715,49238
1990,3000,0.06666666666666667,0.06383585929870605,49238
1990,5000,0.06666666666666667,0.06385040283203125,49238
1990,10000,0.06666666666666667,0.06386470794677734,49238
1990,50000,0.9333333333333333,0.0640108585357666,154193
1990,100000,0.9333333333333333,0.06402730941772461,154193
1990,200000,1.0,0.06432437896728516,206184
1990,300000,1.0,0.06496763229370117,342683
1990,500000,1.0,0.06603217124938965,517536
2392,500,0.0,0.06550931930541992,49238
2392,1000,0.0,0.06554269790649414,49238
2392,3000,0.0,0.06556177139282227,49238
2392,5000,0.0,0.06557941436767578,49238
2392,10000,0.0,0.0655968189239502,49238
2392,50000,0.6666666666666666,0.06576967239379883,123031
2392,100000,0.6666666666666666,0.06579041481018066,123031
2392,200000,0.9333333333333333,0.06599926948547363,262670
2392,300000,0.9666666666666667,0.06679940223693848,314633
2392,500000,1.0,0.06795859336853027,559238
2787,500,0.0,0.06261372566223145,49238
2787,1000,0.0,0.06264305114746094,49238
2787,3000,0.0,0.06265902519226074,49238
2787,5000,0.0,0.06267356872558594,49238
2787,10000,0.0,0.06268811225891113,49238
2787,50000,0.2,0.06284689903259277,95988
2787,100000,0.3,0.0629415512084961,105375
2787,200000,0.5666666666666667,0.06327605247497559,260781
2787,300000,0.6,0.06335997581481934,334574
2787,500000,0.9666666666666667,0.06363821029663086,508049
3075,500,0.03333333333333333,0.06396961212158203,49238
3075,1000,0.03333333333333333,0.06400656700134277,49238
3075,3000,0.03333333333333333,0.0640268325805664,49238
3075,5000,0.03333333333333333,0.06404542922973633,49238
3075,10000,0.03333333333333333,0.06406331062316895,49238
3075,50000,0.4666666666666667,0.06424212455749512,93201
3075,100000,0.6,0.06436705589294434,105180
3075,200000,0.8,0.06473851203918457,203076
3075,300000,0.9,0.06509041786193848,375945
3075,500000,0.9333333333333333,0.06536221504211426,504398
3281,500,0.0,0.08082365989685059,49238
3281,1000,0.0,0.08085417747497559,49238
3281,3000,0.0,0.08087038993835449,49238
3281,5000,0.0,0.08088469505310059,49238
3281,10000,0.0,0.08089900016784668,49238
3281,50000,0.3333333333333333,0.08104729652404785,154193
3281,100000,0.3333333333333333,0.08106470108032227,154193
3281,200000,0.6333333333333333,0.0811614990234375,227986
3281,300000,1.0,0.08150720596313477,312351
3281,500000,1.0,0.08249187469482422,519341
3511,500,0.0,0.06938838958740234,49238
3511,1000,0.0,0.06941676139831543,49238
3511,3000,0.0,0.06943202018737793,49238
3511,5000,0.0,0.06944584846496582,49238
3511,10000,0.0,0.06945943832397461,49238
3511,50000,0.4,0.06960201263427734,93201
3511,100000,0.9666666666666667,0.06969761848449707,198156
3511,200000,0.9666666666666667,0.06985163688659668,272223
3511,300000,0.9666666666666667,0.07030272483825684,303006
3511,500000,1.0,0.07150959968566895,562357
4059,500,0.13333333333333333,0.06388211250305176,49238
4059,1000,0.13333333333333333,0.06391286849975586,49238
4059,3000,0.13333333333333333,0.06392979621887207,49238
4059,5000,0.13333333333333333,0.06394505500793457,49238
4059,10000,0.13333333333333333,0.06396031379699707,49238
4059,50000,0.5666666666666667,0.06410622596740723,123031
4059,100000,0.5666666666666667,0.06412434577941895,123031
4059,200000,0.6333333333333333,0.06422758102416992,227986
4059,300000,0.8333333333333334,0.06499171257019043,308766
4059,500000,1.0,0.0657954216003418,541176
4784,500,0.0,0.06315779685974121,49238
4784,1000,0.0,0.0631868839263916,49238
4784,3000,0.0,0.06320333480834961,49238
4784,5000,0.0,0.06321859359741211,49238
4784,10000,0.0,0.0632333755493164,49238
